Fórmula,Dias,MEA
A_N,7,2.16
A_N,7,2.16
A_N,7,2.18
A_N,7,2.18
AQ_0.5,7,2.16
AQ_0.5,7,2.14
AQ_0.5,7,2.14
AQ_0.5,7,2.14
AQ_0.5C,7,2.14
AQ_0.5C,7,2.14
AQ_0.5C,7,2.12
AQ_0.5C,7,2.12
AQ_1.0,7,2.11
AQ_1.0,7,2.15
AQ_1.0,7,2.14
AQ_1.0,7,2.14
AQ_1.0C,7,2.13
AQ_1.0C,7,2.12
AQ_1.0C,7,2.12
AQ_1.0C,7,2.11
AQ_1.5,7,2.06
AQ_1.5,7,2.10
AQ_1.5,7,2.09
AQ_1.5C,7,2.10
AQ_1.5C,7,2.08
AQ_1.5C,7,2.12
A_N,28,2.15
A_N,28,2.16
A_N,28,2.14
A_N,28,2.16
AQ_0.5,28,2.17
AQ_0.5,28,2.18
AQ_0.5,28,2.16
AQ_0.5,28,2.17
AQ_0.5C,28,2.18
AQ_0.5C,28,2.17
AQ_0.5C,28,2.15
AQ_0.5C,28,2.20
AQ_1.0,28,2.16
AQ_1.0,28,2.13
AQ_1.0,28,2.13
AQ_1.0,28,2.16
AQ_1.0C,28,2.18
AQ_1.0C,28,2.17
AQ_1.0C,28,2.17
AQ_1.0C,28,2.13
AQ_1.5,28,2.13
AQ_1.5,28,2.07
AQ_1.5,28,2.14
AQ_1.5C,28,2.07
AQ_1.5C,28,2.15
AQ_1.5C,28,2.12
A_N,91,2.16
A_N,91,2.19
A_N,91,2.18
A_N,91,2.14
AQ_0.5,91,2.13
AQ_0.5,91,2.22
AQ_0.5,91,2.20
AQ_0.5,91,2.18
AQ_0.5C,91,2.20
AQ_0.5C,91,2.24
AQ_0.5C,91,2.22
AQ_0.5C,91,2.18
AQ_1.0,91,2.21
AQ_1.0,91,2.22
AQ_1.0,91,2.20
AQ_1.0,91,2.15
AQ_1.0C,91,2.22
AQ_1.0C,91,2.18
AQ_1.0C,91,2.18
AQ_1.0C,91,2.21
AQ_1.5,91,2.14
AQ_1.5,91,2.10
AQ_1.5,91,2.14
AQ_1.5C,91,2.14
AQ_1.5C,91,2.11
AQ_1.5C,91,2.15
