Formulation,Days,RCTA
A_N,7,21.6
A_N,7,18.8
A_N,7,16.7
A_N,7,18.2
A_N,7,19.8
A_N,7,18.1
A_N,7,17.6
A_N,7,14.8
AQ_0.5,7,20.7
AQ_0.5,7,19.0
AQ_0.5,7,22.4
AQ_0.5,7,20.0
AQ_0.5,7,19.3
AQ_0.5,7,18.4
AQ_0.5,7,21.4
AQ_0.5,7,19.6
AQ_0.5C,7,21.6
AQ_0.5C,7,19.3
AQ_0.5C,7,19.8
AQ_0.5C,7,20.6
AQ_0.5C,7,18.4
AQ_0.5C,7,19.9
AQ_0.5C,7,19.8
AQ_0.5C,7,21.2
AQ_1.0,7,18.2
AQ_1.0,7,19.0
AQ_1.0,7,20.4
AQ_1.0,7,20.0
AQ_1.0,7,19.2
AQ_1.0,7,17.8
AQ_1.0,7,19.9
AQ_1.0,7,19.3
AQ_1.0C,7,19.8
AQ_1.0C,7,17.7
AQ_1.0C,7,18.4
AQ_1.0C,7,20.0
AQ_1.0C,7,18.5
AQ_1.0C,7,19.8
AQ_1.0C,7,19.3
AQ_1.0C,7,20.2
AQ_1.5,7,17.5
AQ_1.5,7,16.8
AQ_1.5,7,18.0
AQ_1.5,7,17.5
AQ_1.5,7,18.5
AQ_1.5,7,18.0
AQ_1.5C,7,15.6
AQ_1.5C,7,17.1
AQ_1.5C,7,18.5
AQ_1.5C,7,16.0
AQ_1.5C,7,17.9
AQ_1.5C,7,15.3
A_N,28,24.4
A_N,28,24.7
A_N,28,21.6
A_N,28,22.5
A_N,28,19.8
A_N,28,20.2
A_N,28,21.7
A_N,28,24.1
AQ_0.5,28,19.7
AQ_0.5,28,20.0
AQ_0.5,28,21.6
AQ_0.5,28,19.9
AQ_0.5,28,19.4
AQ_0.5,28,18.7
AQ_0.5,28,22.6
AQ_0.5,28,20.2
AQ_0.5C,28,21.1
AQ_0.5C,28,21.2
AQ_0.5C,28,22.7
AQ_0.5C,28,20.4
AQ_0.5C,28,21.6
AQ_0.5C,28,22.7
AQ_0.5C,28,20.1
AQ_0.5C,28,24.1
AQ_1.0,28,19.6
AQ_1.0,28,19.5
AQ_1.0,28,16.7
AQ_1.0,28,18.4
AQ_1.0,28,18.4
AQ_1.0,28,19.6
AQ_1.0,28,20.2
AQ_1.0,28,20.7
AQ_1.0C,28,19.0
AQ_1.0C,28,20.0
AQ_1.0C,28,20.2
AQ_1.0C,28,21.7
AQ_1.0C,28,19.5
AQ_1.0C,28,20.7
AQ_1.0C,28,17.4
AQ_1.0C,28,19.9
AQ_1.5,28,20.1
AQ_1.5,28,20.2
AQ_1.5,28,18.4
AQ_1.5,28,16.9
AQ_1.5,28,24.9
AQ_1.5,28,20.1
AQ_1.5C,28,19.3
AQ_1.5C,28,16.6
AQ_1.5C,28,17.8
AQ_1.5C,28,20.0
AQ_1.5C,28,19.4
AQ_1.5C,28,22.5
A_N,91,26.5
A_N,91,23.3
A_N,91,23.7
A_N,91,23.3
A_N,91,23.7
A_N,91,24.2
A_N,91,21.2
A_N,91,22.3
AQ_0.5,91,25.2
AQ_0.5,91,23.6
AQ_0.5,91,23.9
AQ_0.5,91,24.5
AQ_0.5,91,25.3
AQ_0.5,91,25.0
AQ_0.5,91,22.6
AQ_0.5,91,22.9
AQ_0.5C,91,25.6
AQ_0.5C,91,24.8
AQ_0.5C,91,23.9
AQ_0.5C,91,23.6
AQ_0.5C,91,22.7
AQ_0.5C,91,23.0
AQ_0.5C,91,25.3
AQ_0.5C,91,24.4
AQ_1.0,91,25.4
AQ_1.0,91,24.1
AQ_1.0,91,24.9
AQ_1.0,91,26.2
AQ_1.0,91,22.8
AQ_1.0,91,24.2
AQ_1.0,91,26.0
AQ_1.0,91,25.2
AQ_1.0C,91,26.3
AQ_1.0C,91,24.8
AQ_1.0C,91,23.8
AQ_1.0C,91,22.5
AQ_1.0C,91,22.2
AQ_1.0C,91,23.9
AQ_1.0C,91,21.3
AQ_1.0C,91,22.6
AQ_1.5,91,22.8
AQ_1.5,91,22.9
AQ_1.5,91,22.7
AQ_1.5,91,25.0
AQ_1.5,91,22.9
AQ_1.5,91,22.6
AQ_1.5C,91,28.0
AQ_1.5C,91,29.5
AQ_1.5C,91,27.4
AQ_1.5C,91,27.7
AQ_1.5C,91,27.2
AQ_1.5C,91,25.0
