Fórmula,Dias,MEA
A_N,7,2.16
A_N,7,2.16
A_N,7,2.18
A_N,7,2.18
AA_0.5C,7,2.16
AA_0.5C,7,2.17
AA_0.5C,7,2.16
AA_0.5C,7,2.16
AA_1.0C,7,2.16
AA_1.0C,7,2.13
AA_1.0C,7,2.16
AA_1.0C,7,2.15
A_N,28,2.15
A_N,28,2.16
A_N,28,2.14
A_N,28,2.16
AA_0.5C,28,2.16
AA_0.5C,28,2.18
AA_0.5C,28,2.16
AA_0.5C,28,2.18
AA_1.0C,28,2.16
AA_1.0C,28,2.15
AA_1.0C,28,2.18
AA_1.0C,28,2.20
A_N,91,2.16
A_N,91,2.19
A_N,91,2.18
A_N,91,2.14
AA_0.5C,91,2.18
AA_0.5C,91,2.17
AA_0.5C,91,2.22
AA_0.5C,91,2.21
AA_1.0C,91,2.15
AA_1.0C,91,2.19
AA_1.0C,91,2.21
AA_1.0C,91,2.15
