Fórmula,Dias,RFTA
A_N,7,7.0
A_N,7,6.9
A_N,7,7.2
A_N,7,6.9
AA_0.5C-B,7,6.1
AA_0.5C-B,7,6.7
AA_0.5C-B,7,6.8
AA_0.5C-B,7,7.1
AA_1.0C-B,7,6.6
AA_1.0C-B,7,6.4
AA_1.0C-B,7,6.4
AA_1.0C-B,7,6.9
A_N,28,9.3
A_N,28,8.6
A_N,28,8.5
A_N,28,8.5
AA_0.5C-B,28,7.4
AA_0.5C-B,28,7.8
AA_0.5C-B,28,7.3
AA_0.5C-B,28,7.5
AA_1.0C-B,28,7.1
AA_1.0C-B,28,7.7
AA_1.0C-B,28,7.6
AA_1.0C-B,28,8.1
A_N,91,9.4
A_N,91,10.7
A_N,91,9.7
A_N,91,9.5
AA_0.5C-B,91,8.8
AA_0.5C-B,91,9.1
AA_0.5C-B,91,8.7
AA_0.5C-B,91,8.8
AA_1.0C-B,91,9.7
AA_1.0C-B,91,9.0
AA_1.0C-B,91,9.3
AA_1.0C-B,91,10.2
